SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170061266,1.0,,,
480170061268,16.22222222222222,,3.6666666666666665,
480170061270,2.0,,,
480170061271,2.8333333333333335,,1.0,
480170061273,1.0,,,
480170061275,5.0,,2.0,
480170061276,15.772727272727273,,3.25,
480170061277,,,2.0,
480170061278,3.0,,,
480170061279,41.142857142857146,,,
480170061280,11.5,6.0,2.1666666666666665,0.0
480170061283,2.5,,0.3333333333333333,
480170061285,2.5,,4.0,
480170061286,20.789473684210527,,3.5,
480170061288,45.78947368421053,,5.0,0.0
480170061290,1.0,,,
480170061292,0.0,,,
480170061294,13.0,,,
480170061295,1.0,,,
480170061296,388.57142857142856,6.0,1.0,
480170061297,1.0,,1.0,
480170061299,2.0,,0.5,
480170061300,4.0,,4.0,
480170061301,54.4,4.571428571428571,2.933333333333333,
480170061303,8.625,,,
480170061305,37.0,,,
480170061309,84.66666666666667,,,
480170061312,2.0,,,
480170061314,13.0,,,
480170061315,5.111111111111111,,0.3333333333333333,
480170061317,18.192307692307693,27.0,2.25,
480170061318,16.666666666666668,,9.0,
480170061321,26.153846153846153,5.0,4.333333333333333,
480170061325,4.2,,0.3333333333333333,
480170061326,178.6,3.75,3.6666666666666665,
480170061328,2.5,,0.0,
480170061329,1.0,,,
480170061331,1.0,,,
480170061333,1.0,,2.5,
480170061335,5.666666666666667,,7.8,
480170061336,2.5,,0.0,0.0
480170061338,5.25,5.0,0.42857142857142855,
480170061339,,3.0,,
480170061340,1.0,,5.0,
480170061341,21.0,,8.0,
480170061343,73.875,,,
480170061344,,,7.0,
480170061345,34.875,,2.0,
480170061346,43.0,,,
480170061347,6.833333333333333,,,
480170061348,2.8,,3.4,
480170061349,5.222222222222222,,1.0,
480170061350,55.22222222222222,,4.666666666666667,
480170061352,0.3333333333333333,,2.0,
480170061353,94.5,,9.0,
480170061354,,,1.0,
480170061355,1.0,,,
480170061358,2.75,,,
480170061359,0.75,,,
480170061360,1.0,,,
480170061361,61.75,,0.0,
480170061362,,,8.0,
480170061363,278.0,,,
480170061365,1.0,,4.666666666666667,
480170061366,5.923076923076923,,3.3333333333333335,
480170061368,1.0,,,
480170061369,10.0,,2.5,
480170061370,6.0,,2.5,
480170061371,,,4.0,
480170061375,0.0,,0.0,
480170061377,3.6666666666666665,6.0,3.4,
480170061378,1.5,,5.0,
480170061379,0.0,,4.8,
480170061380,3.6666666666666665,,3.6666666666666665,
480170061381,1.0,,,
480170061383,83.0,,,
480170061384,1.0,,1.0,
480170061386,,,8.0,
480170061388,11.0,,5.0,
480170061390,3.090909090909091,,6.333333333333333,
480170061391,9.0,,,
480170061393,2.5555555555555554,,6.0,
480170061394,,,2.0,
480170061395,207.0,6.0,3.8,
